"dataset_id","row_id","latitude","longitude","sp_code","scientific","common","tsn","count","series_id","obs_date","date_time","last_mod","provider","owner","oceano","depth","ds_type"
1726,"1726_73177",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2010-07-30,"2010-07-30 15:40:13","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_73178",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-24,"2013-06-24 10:23:51","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_73179",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-22,"2013-06-22 15:44:13","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_73180",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-02,"2013-07-02 10:12:02","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_73181",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-04-07,"2013-04-07 16:36:18","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_73182",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-04-23,"2013-04-23 16:40:42","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_73183",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-01-24,"2013-01-24 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_73185",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-23,"2013-07-23 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_73186",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-08-06,"2013-08-06 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_73217",68.624827,-53.910325,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2018-09-06,"2018-09-06 17:31:40","2020-09-02 05:57:13","Michael Jackson via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_74451",38.633701,-28.623526,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-05-20,"2019-05-20 13:18:16","2020-09-02 05:57:13","Neal Maxwell via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_74594",38.592458,-29.05269,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-23,"2019-06-23 17:46:58","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_74595",38.215267,-26.365787,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-19,"2019-06-19 09:23:45","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_74597",38.042535,-27.351545,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-29,"2019-06-29 20:52:02","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_74598",38.038543,-25.855242,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-07-01,"2019-07-01 13:54:08","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_74599",38.223203,-27.188115,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-29,"2019-06-29 07:52:19","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_75730",38.364703,-28.088196,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2018-05-04,"2018-05-04 07:34:14","2020-09-02 05:57:13","Sarah Kather via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_76226",15.287662,-61.442113,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-12-27,"2019-12-27 15:53:19","2020-09-02 05:57:13","Sabine+Ulf via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78946",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2011-05-29,"2011-05-29 17:13:26","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78947",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2010-06-16,"2010-06-16 09:39:21","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78948",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2008-08-20,"2008-08-20 18:38:53","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78952",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-01,"2013-06-01 10:45:37","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78953",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-01,"2013-07-01 10:58:36","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78954",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-01-26,"2013-01-26 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78955",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-02,"2013-07-02 10:12:01","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78956",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-01,"2013-07-01 11:39:28","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78957",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-06,"2013-07-06 16:20:08","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_78958",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-01-31,"2013-01-31 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_80251",38.639065,-28.622496,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-05-17,"2019-05-17 11:52:55","2020-09-02 05:57:13","Neal Maxwell via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_80252",38.632696,-28.597841,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-05-18,"2019-05-18 13:09:43","2020-09-02 05:57:13","Neal Maxwell via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_80399",38.729445,-28.932693,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-25,"2019-06-25 08:12:35","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_80400",38.223292,-27.195327,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-29,"2019-06-29 08:01:53","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_80401",38.19672,-27.231413,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-29,"2019-06-29 09:11:21","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_83850",52.818895,4.654713,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2018-06-25,"2018-06-25 21:38:16","2020-09-02 05:57:13","SOS Dolfijn via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_25332",15.58252,-61.620668,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_1828",2016-05-04,"2016-05-04 15:42:00","2020-09-02 05:57:13","Shane Gero via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_26227",44.4,-67.4,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_7377",2014-09-05,"2014-09-05 14:41:00","2020-09-02 05:57:13","Barry Gutradt via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27041",47.08974,-56.0269,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-05-20,"2013-05-20 16:22:59","2020-09-02 05:57:13","Roger ETCHEBERRY via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27342",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2010-07-26,"2010-07-26 16:28:20","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27343",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2010-07-23,"2010-07-23 10:14:30","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27344",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2011-04-27,"2011-04-27 10:42:42","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27345",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2011-06-09,"2011-06-09 16:21:02","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27346",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2012-09-03,"2012-09-03 16:07:11","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27350",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-07,"2013-06-07 16:38:14","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27351",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-22,"2013-06-22 15:53:43","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27352",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-02,"2013-06-02 16:20:04","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27353",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-05,"2013-07-05 10:38:46","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27354",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-07,"2013-06-07 16:12:49","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27355",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-11,"2013-07-11 11:10:04","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27356",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-13,"2013-07-13 11:19:37","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27357",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-08-06,"2013-08-06 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27358",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2014-05-22,"2014-05-22 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27359",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2014-06-16,"2014-06-16 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_27360",37.706531,-25.599529,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2016-01-19,"2016-01-19 07:43:47","2020-09-02 05:57:13","Patrick Groot via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_29243",38.385217,-28.3607,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-13,"2019-06-13 11:02:10","2020-09-02 05:57:13","ANNA SANCHEZ MORA via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_30500",15.302068,-61.546183,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-12-27,"2019-12-27 16:16:39","2020-09-02 05:57:13","Sabine+Ulf via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_31235",38.624468,-27.266144,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2017-06-18,"2017-06-18 11:41:50","2020-09-02 05:57:13","Guilherme Rodrigues Estrela via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_31236",38.624468,-27.266144,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2017-06-18,"2017-06-18 11:41:53","2020-09-02 05:57:13","Guilherme Rodrigues Estrela via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_31497",15.24,-61.39,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_1828",2016-01-31,"2016-01-31 16:42:34","2020-09-02 05:57:13","A&W Steffen via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_32095",15.3,-61.4,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_1828",2018-02-05,"2018-02-05 00:00:00","2020-09-02 05:57:13","Patrick Dykstra via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33166",38.384951,-28.295342,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2014-09-23,"2014-09-23 12:27:11","2020-09-02 05:57:13","Veronika Doppelreiter via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33219",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2012-08-04,"2012-08-04 17:23:41","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33220",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2011-04-27,"2011-04-27 11:27:40","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33221",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2010-07-17,"2010-07-17 15:45:06","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33222",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2012-04-01,"2012-04-01 10:43:06","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33223",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2012-04-18,"2012-04-18 10:19:29","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33226",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-17,"2013-06-17 10:08:45","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33227",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-01-31,"2013-01-31 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33228",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-01-31,"2013-01-31 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33229",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-22,"2013-06-22 11:05:02","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33230",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-01,"2013-06-01 10:14:58","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33231",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-06-28,"2013-06-28 09:45:12","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33232",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-24,"2013-07-24 16:19:37","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33233",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-11,"2013-07-11 10:40:47","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33235",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-13,"2013-07-13 16:28:59","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33236",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-07-24,"2013-07-24 18:48:37","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33238",38.5,-28.59,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2013-08-26,"2013-08-26 00:00:00","2020-09-02 05:57:13","Nacho Oria via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_33239",37.706531,-25.599529,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2018-10-16,"2018-10-16 17:00:14","2020-09-02 05:57:13","Patrick Groot via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_34448",38.624046,-28.630328,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-05-18,"2019-05-18 14:02:57","2020-09-02 05:57:13","Neal Maxwell via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_34620",38.215112,-26.304495,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-19,"2019-06-19 10:58:44","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_34621",38.018365,-27.318147,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-29,"2019-06-29 19:59:44","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_34622",38.033402,-27.33012,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-29,"2019-06-29 20:18:35","2020-09-02 05:57:13","Oliver Boisseau via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_35047",38.492883,-28.684583,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-06-18,"2019-06-18 07:45:23","2020-09-02 05:57:13","ANNA SANCHEZ MORA via Happywhale.com","tcheeseman","",,"ptphoto"
1726,"1726_35065",38.58865,-28.38215,"Sperm Whale","Physeter macrocephalus","Sperm Whale",180488,1,"1726_0",2019-07-03,"2019-07-03 18:04:06","2020-09-02 05:57:13","ANNA SANCHEZ MORA via Happywhale.com","tcheeseman","",,"ptphoto"
